,,,D=!,phi1,teta12,Xt(1),,,,,,,
t,Pre,Residuos,dpre,-0.169178526,-0.686832399,,,,,,,,
65,1319,-421.0123202,-185,-152.091495,85.7095726,,,,,,,,
66,2059,550.6812104,882,31.29802734,370.6183381,,,,,,,,
67,3371,1608.603998,2332,-149.2154601,587.6607599,,,,,,,,
68,1388,-986.6807033,-774,-394.524323,-185.7385466,,,,,,,,
69,1483,744.1062094,754,130.9441793,143.7761149,,,,,,,,
70,338,-40.58343755,338,-127.5606087,256.9938297,,,,,,,,
71,117,25.91264036,117,-57.18234184,34.95100276,,,,,,,,
72,30,-379.7683907,-920,-19.79388756,-573.2841387,,,,,,,,
73,0,-53.16295493,0,155.6442441,210.7445234,,,,,,,,
74,792,732.5985333,699,0,-34.00920046,,,,,,,,
75,739,165.796921,477,-118.2557898,195.1306481,,,,,,,,
76,2910,1893.94136,1745,-80.69815698,-232.1134225,,,,,,,,
77,1384,-516.007042,65,-295.2165282,289.1649018,,,,,,,,
78,2515,819.4467521,456,-10.9966042,-378.2256966,,,,,,,,
79,1013,-1342.01499,-2358,-77.14540793,-1104.841343,,,,,,,,
80,1205,-454.6313764,-183,398.9229647,677.6842742,,,,,,,,
81,0,-946.4271237,-1483,30.95967029,-511.0762527,,,,,,,,
82,0,-114.8024789,-338,250.8917543,27.87401976,,,,,,,,
83,49,6.700558072,-68,57.18234184,-17.79764093,,,,,,,,
84,0,-276.632037,-30,11.50413978,260.8372347,,,,,,,,
85,18,-13.31739898,18,5.075355785,36.51403985,,,,,,,,
86,126,-168.3385717,-666,-3.045213471,-503.1724079,,,,,,,,
87,312,-200.8887105,-427,112.6728984,-113.874697,,,,,,,,
88,1038,-505.4246963,-1872,72.23923067,-1300.820287,,,,,,,,
89,2284,864.0677639,900,316.702201,354.4103544,,,,,,,,
90,1790,-317.2885221,-725,-152.2606736,-562.8225783,,,,,,,,
91,1798,-9.574756789,785,122.6544315,921.7393748,,,,,,,,
92,983,-665.5876854,-222,-132.805143,312.2555588,,,,,,,,
93,163,-446.3035604,163,37.55763281,650.0368115,,,,,,,,
94,21,-85.06469798,21,-27.57609977,78.85006198,,,,,,,,
95,125,76.99682687,76,-3.55274905,-4.602160373,,,,,,,,
96,0,-201.9267617,0,-12.85756799,189.9998455,,,,,,,,
97,91,63.8283561,73,0,9.146821084,,,,,,,,
98,86,-167.708942,-40,-12.35003241,115.620385,,,,,,,,
99,312,-130.9062827,0,6.767141047,137.9768749,,,,,,,,
100,1344,-40.30806096,306,0,347.1420565,,,,,,,,
101,1711,-32.69461057,-573,-51.76862901,-593.4697349,,,,,,,,
102,794,-1116.481219,-996,96.93929549,217.9240367,,,,,,,,
103,1911,274.8890756,113,168.5018121,6.576253173,,,,,,,,
104,633,-825.2116211,-350,-19.11717346,457.1471865,,,,,,,,
105,534,124.3690017,371,59.21248416,306.5357449,,,,,,,,
106,109,-33.05170134,88,-62.76523321,58.42519056,,,,,,,,
107,0,-87.13405082,-125,-14.8877103,-52.88391529,,,,,,,,
108,0,-117.2159612,0,21.14731577,138.6898421,,,,,,,,
109,0,-47.22549176,-91,0,-43.83938292,,,,,,,,
110,725,539.3307488,639,15.39524588,115.1879349,,,,,,,,
111,1067,557.0879566,755,-108.1050782,89.91067617,,,,,,,,
112,1527,27.62002266,183,-127.7297873,27.6848822,,,,,,,,
113,590,-1174.407517,-1121,-30.95967029,22.4557178,,,,,,,,
114,1288,-82.35449337,494,189.6491278,766.8354739,,,,,,,,
115,1480,-325.9945469,-431,-83.57419193,-188.8027232,,,,,,,,
116,1053,-73.24580643,420,72.91594478,566.7820771,,,,,,,,
117,503,-16.73015795,-31,-71.05498099,-85.42065979,,,,,,,,
118,107,-19.43356384,-2,5.244534311,22.70097931,,,,,,,,
119,0,-59.44497646,0,0.338357052,59.84648913,,,,,,,,
120,0,-80.42315323,0,0,80.50771982,,,,,,,,
121,90,57.58189097,90,0,32.43599778,,,,,,,,
122,55,-314.983598,-670,-15.22606736,-370.4298319,,,,,,,,
123,763,191.7750519,-304,113.3496125,-382.6260575,,,,,,,,
124,1822,365.3824219,295,51.43027195,-18.97032641,,,,,,,,
125,2545,1098.88989,1955,-49.90766522,806.6211317,,,,,,,,
126,2099,423.7250114,811,-330.7440187,56.56373422,,,,,,,,
127,1073,-767.9890958,-407,-137.2037847,223.9036166,,,,,,,,
128,1514,479.5702447,461,68.85566015,50.30759292,,,,,,,,
129,127,-465.4742814,-376,-77.99130056,11.49081451,,,,,,,,
130,0,-56.73229341,-107,63.61112584,13.34760127,,,,,,,,
131,38,15.29348071,38,18.1021023,40.82873577,,,,,,,,
132,0,-61.63602743,0,-6.428783994,55.23722724,,,,,,,,
133,112,61.5368376,22,0,-39.5491083,,,,,,,,
134,320,44.99099886,265,-3.721927576,216.3409402,,,,,,,,
135,1653,976.854802,890,-44.83230943,-131.7173189,,,,,,,,
136,2277,555.332923,455,-150.5688883,-250.9564853,,,,,,,,
137,1155,-712.4044244,-1390,-76.97622941,-754.753179,,,,,,,,
138,2102,529.1109702,3,235.1581514,-291.028066,,,,,,,,
139,2229,628.1441358,1156,-0.507535579,527.4797928,,,,,,,,
140,176,-1204.266431,-1338,-195.5703762,-329.3843815,,,,,,,,
141,245,24.73310568,118,226.360868,319.7028172,,,,,,,,
142,3,-55.91935968,3,-19.96306609,38.96557716,,,,,,,,
143,168,139.9936732,130,-0.507535579,-10.50405804,,,,,,,,
144,110,45.6847181,110,-21.9932084,42.33362056,,,,,,,,
145,53,-35.34822593,-59,-18.60963788,-42.26549377,,,,,,,,
146,318,38.88099596,-2,9.981533044,-30.90127567,,,,,,,,
147,1085,103.1974763,-568,0.338357052,-670.9355268,,,,,,,,
148,932,-867.5308564,-1345,96.09340286,-381.4206436,,,,,,,,
149,1359,-57.70096927,204,227.5451177,489.3024397,,,,,,,,
150,3521,1747.856926,1419,-34.51241934,-363.4105569,,,,,,,,
151,1326,-711.6842975,-903,-240.0643286,-431.4297435,,,,,,,,
152,1111,260.7337069,935,152.7682091,827.1292017,,,,,,,,
