p,d,q,P,D,Q,s,AIC
0,0,0,0,1,1,12,1443.5933641175748
3,0,0,0,1,1,12,1431.9209407410012
6,0,0,0,1,1,12,1391.608734322271
12,0,0,0,1,1,12,1382.6557993063543
15,0,0,0,1,1,12,1387.6829960643697
12,0,0,0,1,0,12,1522.9139966554674
12,0,0,0,1,3,12,1368.2413955807422
12,0,0,0,1,4,12,1367.0440795248066
15,0,0,0,1,4,12,1371.4934985472523
6,0,0,0,1,0,12,1650.8109788018492
12,0,0,0,1,5,12,1369.2517342351048
11,0,0,0,1,4,12,1392.6323141961384
10,0,0,0,1,4,12,1398.9017354953492
